price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
263000,1403 - 11 MAHOGANY ROW SE,T3M 2L6,2.0,2.0,,854.0,condo
649000,2315 DEER SIDE DR SE,T2J 5L7,3.0,2.0,1.0,2077.0,house
429900,32 LEGACY CRES SE,T2X 0W5,3.0,2.0,1.0,1736.0,house
730000,13 SIMCOE BAY SW,T3H 4K7,4.0,3.0,1.0,2291.0,house
1750,46 CRANSTON WAY SE,T3M 1E7,3.0,2.0,1.0,1377.0,house
339900,2304 - 10221 TUSCANY BLVD NW,T3L 0A3,1.0,2.0,,1493.0,condo
249900,305 - 1513 26 AVE SW,T2T 1C4,2.0,1.0,,864.0,condo
1065000,6720 LEASIDE DR SW,T3E 6H5,4.0,2.0,1.0,1802.0,house
345000,376 WHITESIDE RD NE,T1Y 2Z7,5.0,3.0,,1071.0,house
629900,43 SPRING MEWS SW,T3H 3V2,5.0,3.0,1.0,1925.0,house
419900,111 PANORAMA HILLS PL NW,T3K 4R9,3.0,2.0,,1683.0,house
629900,831 5 Avenue NE,T2E 4H1,3.0,3.0,1.0,1350.0,townhouse
217000,314 - 339 13 AVE SW,T2R 0K3,1.0,1.0,,592.0,condo
799900,5620 LODGE CRES SW,T3E 5Y7,4.0,4.0,1.0,2017.0,house
419900,301 COVEWOOD CIR NE,T3K 5S8,4.0,2.0,2.0,1480.0,house
679900,145 ELGIN ESTATES PK SE,T2Z 0B8,4.0,3.0,1.0,2317.0,house
288800,304 PATTERSON View SW,T3H 3J9,2.0,2.0,,1144.0,townhouse
739900,2128 9 AVE NW,T2N 1E4,2.0,1.0,,990.0,house
445000,203 - 801 2 AVE SW,T2P 4Z9,2.0,2.0,,914.0,condo
209990,1205 - 8810 ROYAL BIRCH BLVD NW,T3G 6A9,2.0,2.0,,859.0,condo
1089000,1433 SHELBOURNE ST SW,T3C 2L1,4.0,2.0,1.0,1761.0,house
449900,214 12A ST NE,T2E 4R7,1.0,1.0,,782.0,house
675000,2132 3 AVE NW,T2N 0K4,5.0,3.0,1.0,1328.0,house
459900,32 TEMPLEVALE WAY NE,T1Y 4V2,4.0,3.0,1.0,1795.0,house
498800,245 ALLAN CRES SE,T2J 0T3,4.0,1.0,1.0,1319.0,house
