postal_code,walk_score,bike_score,transit_score
T3E 7H4,62,71,49
T2P 0E6,91,95,77
T2M 4X8,72,95,59
T2J 6R2,46,70,33
T3M 1N9,9,60,33
T3H 3E6,32,65,54
T2L 1T7,56,70,44
T2Z 4W5,42,77,46
T2G 3N3,39,60,44
T3P 1K6,0,30,0
T3A 2Y3,16,49,37
T2X 2J8,48,71,53
T2M 0A4,77,82,54
T3C 3K3,56,84,41
T2P 5G4,91,96,76
T2S 2T3,78,98,56
T3N 1R3,0,26,18
T3K 3J4,16,57,36
T2P 3R8,83,93,76
T3G 3N3,31,59,40
T2H 0Y9,57,82,55
T3B 5R2,8,53,31
T3B 5M1,16,56,24
T2X 2B6,45,55,51
T3C 3H3,20,81,42
T2E 1Z7,71,86,53
T3H 0W9,28,58,32
T3K 4L4,73,77,46
T2Y 4J4,48,61,59
T3H 3B5,26,68,54
T2A 5Z7,60,52,48
T2R 1J7,95,95,76
T3C 2H5,71,89,61
T2X 2M7,16,44,40
T3M 2B4,8,55,34
T2V 4C4,25,57,35
T2K 1K6,49,86,53
T2B 3C2,18,36,42
T2E 1P8,81,84,54
T3A 5Y4,37,39,37
T2V 0G8,66,78,54
T3H 5X4,10,56,24
T3H 0Y4,25,50,44
T3B 0P4,64,91,44
T3G 3C9,32,64,37
T2J 0H9,66,71,56
T2Y 0A1,13,63,33
T3G 5G4,19,47,33
T2R 0N7,93,96,72
T3N 1G8,1,31,33
T3E 8A9,35,68,47
T2S 1S3,84,98,59
T1Y 4Z2,44,72,45
T2T 6J3,68,74,48
T3C 2Z1,40,82,55
T2R 1S6,89,96,72
T3G 4N9,28,50,45
T2E 0N4,79,78,54
T2J 0Z1,37,64,37
T3B 2T2,45,77,41
T3R 1N3,23,55,38
T3H 4Y8,19,45,39
T2Z 4R7,20,64,35
T2T 1E7,55,77,51
T3M 0A5,46,69,40
T2N 0A8,90,99,73
T2L 2G8,42,77,40
T2Z 2G3,15,42,41
T2E 1S8,79,82,60
T2M 1K4,57,94,50
T2R 0P4,89,96,72
T2L 1M3,62,81,62
T2Z 0Z7,37,66,38
T2X 0A4,27,63,32
T3G 3B6,31,42,34
T2N 1E1,27,76,53
T3A 5T1,3,22,38
T2R 0L9,90,95,74
T3H 2L2,30,64,36
T2R 0J5,90,96,73
T3P 0P5,0,30,0
T3B 0S6,66,92,46
T3K 5E4,2,35,31
T3A 4Y1,30,66,34
T2Z 0L4,4,54,31
T3K 5A2,30,71,45
T2Z 1B2,37,66,38
T2R 0H1,95,95,76
T3P 0R9,12,42,32
T2G 0T9,44,74,56
T2J 2C4,41,73,48
T3C 0B4,56,91,44
T3G 5N1,39,69,27
T2V 0E8,64,78,46
T3H 3L1,45,77,34
T3R 0V2,19,45,39
T3A 4X4,N/A,N/A,N/A
T2W 5P8,25,63,25
T1Y 3H7,46,68,58
T2R 0S2,94,96,69
T3N 0S4,0,26,18
T2L 0Y2,44,87,54
T2T 6H2,89,83,53
T2J 7H1,53,68,32
T2W 3E5,33,58,33
T3N 1T3,0,26,18
T3J 0K4,1,61,34
T3K 4G4,45,63,40
T2H 1E7,48,79,57
T2V 4J9,19,64,28
T2V 3L5,32,52,51
T2E 4E1,51,92,64
T2M 1Y7,65,96,55
T3B 4X7,9,56,37
T2E 0L2,76,87,59
T2Z 0Z5,37,66,38
T2R 1S2,93,96,70
T3C 0W3,90,98,65
T2T 0L1,85,81,50
T3B 4T7,25,63,51
T2E 9C8,72,99,57
T2N 1A5,43,66,49
T3N 0P1,2,51,38
T3A 2B4,73,81,61
T3N 1P7,0,26,18
T3M 2A2,8,55,34
T3K 5W6,35,68,50
T2Z 5A9,2,47,27
T2Z 0V5,5,41,33
T3C 1R8,63,92,44
T2G 1E1,90,93,76
T1Y 7J3,17,60,37
T3G 1R8,34,64,40
T3H 3J9,40,80,37
T3H 6A7,25,50,44
T2E 5E7,45,83,44
T3G 1K4,23,55,41
T3J 3P1,34,68,60
T2Z 1G1,48,78,46
T2Z 0B6,45,75,46
T2J 0T1,67,85,53
T2N 3H6,45,91,60
T3C 0S8,62,88,56
T2X 1H5,28,64,39
T3A 6K1,0,32,37
T3A 5Y7,70,81,62
T2N 2G6,52,92,57
T3H 0V8,25,50,44
T2Z 2E6,18,46,41
T3J 0M1,11,62,41
T2M 4E4,62,92,60
T1Y 3W3,58,71,47
T2T 1W1,61,83,45
T2K 3Z2,43,57,55
T2Z 1J7,48,76,45
T3M 0T8,26,66,38
T2Z 0N9,19,69,30
T3E 1W1,51,79,52
T2M 1X2,73,86,53
T3A 5L9,12,59,37
T2T 1J1,59,78,52
T2M 4J6,31,82,55
T3C 1J2,52,92,58
T2A 2J5,22,57,51
T2E 2B3,66,81,52
T3K 1B8,26,60,50
T3R 0S3,0,38,0
T2Z 1C5,18,66,29
T2Z 2T6,17,67,32
T3H 5Y4,24,52,46
T3R 0W6,0,38,0
T2Z 2P3,13,64,31
T2J 1K6,46,67,33
T3E 3M9,44,61,47
T3K 5X5,35,68,50
T2V 0S3,54,87,59
T2T 1A6,49,79,48
T2X 4C4,10,35,26
T3K 5T6,29,58,39
T3L 2X7,10,52,52
T3H 4G2,2,12,24
T3H 2Y7,24,62,55
T3E 1W3,51,79,52
T3M 0M9,20,43,35
T3B 1W7,32,73,39
T3J 0J5,8,61,40
T3K 5A6,59,69,50
T2W 0E2,17,65,38
T2X 3T9,38,67,32
T2L 1Y3,52,81,63
T2M 1N2,74,86,54
T3M 0R7,9,39,35
T2N 3N7,49,87,52
T3E 5W6,22,68,40
T2A 4N7,45,71,43
T2Z 0W4,7,50,28
T2W 2V5,24,65,32
T2G 2Z4,67,94,61
T2W 4K8,17,59,29
T2T 5S3,67,83,49
T2W 2E9,36,55,39
T3J 4R5,45,64,58
T2T 4A6,51,81,41
T2T 1Y9,66,82,45
T3R 0Z4,5,38,25
T3H 0G3,27,72,54
T2N 2J1,53,91,56
T3R 0N5,20,47,38
T3H 5G1,30,72,38
T3M 0K4,20,43,35
T3A 2E5,63,89,61
T1Y 3E3,48,78,53
T2X 0B2,50,64,32
T2N 1E5,36,84,59
T2Y 4A9,63,60,60
T2Y 4Z1,37,67,33
T3A 2E2,67,85,60
T2S 3B8,54,86,58
T3L 2V9,17,71,23
T2N 3A1,27,81,51
T3H 5A6,3,52,24
T3B 4W1,21,81,46
T3H 5X3,6,55,24
T1Y 6P2,30,64,37
T3H 4L8,13,35,36
T2J 6H9,8,64,32
T3H 5X8,47,55,32
T2Z 2K9,17,66,35
T3H 0P3,43,64,30
T3L 1C2,56,76,55
T3B 5W6,1,44,23
T2N 5B2,93,99,73
T2Z 0X5,19,69,30
T2N 1A2,37,78,57
T3H 3R7,40,74,37
T2R 0S6,90,94,68
T2Z 3R4,58,80,46
T2E 0K6,75,97,65
T2T 5L3,55,75,44
T2Y 2X1,6,57,32
T2N 3J4,44,84,53
T3J 4T1,54,72,61
T2N 2A9,77,10,61
T3R 0V5,0,38,0
T2Z 1A8,48,76,45
T2Z 3W7,55,78,46
T3C 0Y1,87,89,60
T2E 1V2,67,88,48
T2T 4X9,65,84,45
T2B 0L4,36,77,42
T3A 0S9,41,85,62
T2G 0R5,91,92,77
T3K 0V4,53,62,40
T3B 0P3,63,91,44
T3R 0K5,22,56,37
T3M 0W6,28,47,37
T2Z 1Z4,4,59,28
T3B 2E8,50,80,44
T3H 3H8,30,61,42
T3R 0Z9,0,38,0
T3K 1N2,41,65,53
T2M 1J6,64,81,52
T2S 2V8,55,91,59
T2T 6B3,75,79,48
T3J 5J5,23,64,57
T3M 1S5,2,37,22
T3G 5W8,38,69,36
T2Z 3H8,52,76,46
T3H 0V9,25,50,44
T3M 2C3,2,28,22
T2X 4E7,12,45,38
T3M 1N7,7,61,28
T2G 1H7,82,90,75
T3H 5H9,49,73,52
T2T 2C6,74,78,47
T2T 2B2,54,81,42
T3P 0M3,N/A,N/A,N/A
T3E 3S2,44,63,48
T2T 4A4,54,81,42
T2Z 3L3,57,62,46
T2N 4J3,37,85,56
T3H 3M8,35,75,34
T2T 6P3,61,73,48
T3M 2E9,8,55,34
T2Z 3C5,18,53,36
T2Y 4Z5,62,74,35
T3E 7V3,55,90,57
T2N 4E4,55,91,61
T2G 1K6,69,93,75
T3J 0G1,24,70,52
T3M 1S7,8,55,34
T3G 2Y1,28,49,36
T3A 6H5,19,45,40
T3H 4N3,28,64,55
T3H 3B3,29,48,38
T3K 0V8,68,67,53
T2L 0V2,60,92,62
T2T 4S3,53,78,51
T2M 4W2,79,85,54
T2N 4N7,70,95,60
T2X 4L3,12,45,38
T2N 4H6,81,97,61
T3J 3N8,32,66,58
T2Y 5A1,66,69,34
T2Y 3A6,21,62,44
T2T 3T2,85,83,49
T3J 0Y8,33,67,59
T2X 3R6,60,77,51
T3K 4J4,10,57,37
T3J 0Y2,33,67,59
T3J 1S7,60,77,58
T3N 0M4,0,26,18
T2W 3Y5,13,62,30
T1Y 4K4,49,76,53
T3A 6B6,3,21,32
T2R 0S8,90,94,67
T3P 0J2,0,30,0
T3G 5X3,39,69,21
T3H 0G1,35,65,33
T3E 5G8,34,88,48
T2S 1G2,63,87,51
T3J 5M8,2,61,28
T2Y 0P4,18,52,49
T2Y 3S1,24,62,50
T2Z 3N8,36,69,33
T3H 0T9,25,50,44
T2W 4L6,28,55,27
T3E 4G7,38,69,53
T3G 5N2,40,64,21
T2Y 5B1,7,62,33
T3K 5B6,52,73,51
T3B 5X4,7,52,36
T3C 2V7,30,78,37
T2T 1H4,51,76,47
T2N 0T7,43,86,50
T2K 6J4,29,63,49
T2M 1R9,64,93,58
T2X 4A5,12,45,38
T3R 1V5,20,53,32
T3C 1M2,56,86,59
T3B 5L5,14,60,23
T2T 2P5,45,76,42
T3M 2C8,8,55,34
T2Z 0R8,18,56,30
T2W 5T5,19,64,26
T3J 5H1,30,66,52
T2V 5C1,49,77,36
T2R 0N6,95,96,73
T2R 0T9,95,93,77
T3M 2R8,8,55,34
T3H 5V8,41,61,54
T2G 5J5,82,91,77
T2E 0B5,78,97,70
T2R 0K7,95,96,75
T2G 1H8,82,90,75
T2A 0G8,56,74,60
T3E 4H3,44,77,56
T3H 3K5,70,81,46
T3S 0A6,2,53,21
T2A 2K5,36,53,52
T3G 5B9,26,41,53
T2R 0X4,95,95,76
T3H 4X3,5,29,35
T2T 0W6,64,90,50
T2E 1M1,78,85,52
T2X 0L8,11,50,31
T3M 2W9,36,43,41
T3E 7Y4,51,60,N/A
T2T 2W1,33,81,40
T2N 2Y6,28,81,50
T2J 4K6,28,67,32
T3E 2G5,61,87,54
T3E 3Y7,63,87,56
T3G 5M8,19,59,32
T3H 3E5,30,61,42
T2C 4E2,41,74,48
T2K 0K5,62,71,53
T3P 1J5,0,30,0
T2W 0Y8,23,61,38
T3E 7V5,31,80,48
T2T 4S8,56,84,51
T3G 2W4,18,49,35
T3G 0B7,21,40,50
T3H 1R7,35,71,33
T3A 1G7,35,73,55
T3B 2P7,43,79,39
T2R 0Z7,95,97,72
T2E 6C6,45,63,38
