price,address,postal_code,bedrooms,bath,property_type
534900,96 AUBURN GLEN MANOR SE,T3M 0L1,4 bed,3 + 1 bath,house
499800,42 SUNVISTA CRES SE,T2X 3G2,5 bed,3 + 1 bath,house
525000,173 FYFFE RD SE,T2H 1C2,4 bed,3 bath,house
549900,69 WINSLOW CRES SW,T3C 2R3,4 bed,3 bath,house
439900,111 HAWKHILL CRT NW,T3G 2T7,4 bed,2 + 1 bath,house
199900,5 - 140 ROCKYLEDGE VIEW NW,T3G 5Y4,1 bed,1 bath,condo
599900,1040 MEMORIAL DR NW,T2N 3E1,3 bed,2 + 2 bath,house
410000,408 RANCHRIDGE BAY NW,T3G 1V6,3 bed,2 + 1 bath,house
699800,15 ELVEDEN PLACE SW,T3H 0L1,N/A bed,N/A bath,
480000,21 KENTISH DR SW,T2V 2L4,4 bed,2 bath,house
240000,1312 - 4641 128 AVE NE,T3N 1T2,3 bed,2 bath,condo
829900,11008 WILLOWFERN DR SE,T2J 1R7,6 bed,3 + 1 bath,house
324900,701 - 836 15 AVE SW,T2R 1S2,2 bed,2 bath,condo
195900,1106 - 175 SILVERADO BLVD SW,T2X 0V5,1 bed,1 bath,condo
365000,275 TARALAKE TERR NE,T3J 0A1,4 bed,2 + 1 bath,house
249000,8006 24 ST SE,T2C 0Z3,1 bed,1 bath,house
228500,3623 27A AVE SE,T2B 0E4,3 bed,2 bath,house
319900,8537 BOWNESS RD NW,T3B 0H8,4 bed,2 bath,house
169900,2208 - 4001 B 49 ST NW,T3A 2C9,2 bed,1 bath,condo
2450000,13 WOODHAVEN VIEW SW,T2W 5P6,5 bed,3 + 1 bath,house
299900,120 WHITERAM CLOSE NE,T1Y 5X8,3 bed,2 + 1 bath,house
244900,19 - 3620 51 ST SW,T3E 6N7,2 bed,2 bath,townhouse
775000,75 STRATHRIDGE WAY SW,T3H 3S3,5 bed,3 + 1 bath,house
380888,122 26 AVE NW,T2M 2C7,2 bed,1 + 1 bath,house
224900,314 PINESTREAM Place NE,T1Y 3A5,3 bed,2 + 1 bath,townhouse
619900,2946 PEACEKEEPERS Way SW,T3E 7R6,2 bed,2 bath,townhouse
429900,60 SOMERSET DR SW,T2Y 3C3,4 bed,2 + 1 bath,house
669000,502 - 200 LA CAILLE PL SW,T2P 5E2,2 bed,2 bath,condo
379900,501 - 3339 RIDEAU PL SW,T2S 1Z5,N/A bed,N/A bath,condo
1688000,2231 3 AVE NW,T2N 0K7,5 bed,4 + 1 bath,house
569900,2827 BRECKEN RD NW,T2L 1H5,3 bed,2 bath,house
289900,305 - 930 18 AVE SW,T2T 0H1,2 bed,1 bath,condo
369900,"1602, 888 4 Avenue SW",T2P 0V2,1 bed,1 bath,condo
412000,2504 Wentworth Villas SW,T3H 0K9,3 bed,2 + 1 bath,townhouse
516999,327 RIVERVIEW CLOSE SE,T2C 4C4,5 bed,3 bath,house
575000,63 AMIENS CRES SW,T2T 6E9,4 bed,2 + 1 bath,house
819000,6927 EDGEMONT DR NW,T3A 2H9,4 bed,4 bath,house
724000,1716 19 AVE NW,T2M 1B3,4 bed,3 + 1 bath,house
359900,1000 ABBEYDALE DR NE,T2A 6H3,4 bed,2 bath,house
875000,10122 EAMON RD NW,T3G 5H1,3 bed,2 + 1 bath,house
679000,55 ST MORITZ TERR SW,T3H 5Y1,4 bed,3 + 1 bath,house
385000,58 CHAPARRAL RIDGE WAY SE,T2X 3K4,3 bed,2 + 1 bath,house
415000,22 POINT MCKAY Court NW,T3B 5B7,3 bed,2 + 1 bath,townhouse
385000,329 MAHOGANY BLVD SE,T3M 1V1,3 bed,3 + 1 bath,house
